uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4,cons1,cons2,cons3,cons4
3c57f1a9a0fa11f087848878734f76cf,12,1,4,3,Phainon,Sunday,Cerydra,Tingyun,0,1,0,6
3c57f1a9a0fa11f087848878734f76cf,12,2,4,3,Hyacine,Ice Trailblazer,Tribbie,Castorice,0,6,1,0
3c57f1a9a0fa11f087848878734f76cf,11,1,0,3,Phainon,Sunday,Cerydra,Robin,0,1,0,1
3c57f1a9a0fa11f087848878734f76cf,11,2,0,3,Hyacine,Ice Trailblazer,Tribbie,Castorice,0,6,1,0
3c57f1a9a0fa11f087848878734f76cf,10,1,0,3,Phainon,Sunday,Cerydra,Robin,0,1,0,1
3c57f1a9a0fa11f087848878734f76cf,10,2,0,3,Hyacine,Ice Trailblazer,Tribbie,Castorice,0,6,1,0
3c5807ffa0fa11f0a1fd8878734f76cf,12,1,3,3,Black Swan,Gallagher,Kafka,Hysilens,1,4,0,0
3c5807ffa0fa11f0a1fd8878734f76cf,12,2,3,3,Hyacine,Blade,Sunday,Ruan Mei,0,2,0,1
3c5807ffa0fa11f0a1fd8878734f76cf,11,1,3,3,Black Swan,Gallagher,Kafka,Hysilens,1,4,0,0
3c5807ffa0fa11f0a1fd8878734f76cf,11,2,3,3,Hyacine,Blade,Sunday,Ruan Mei,0,2,0,1
3c5807ffa0fa11f0a1fd8878734f76cf,10,1,2,3,Black Swan,Gallagher,Kafka,Hysilens,1,4,0,0
3c5807ffa0fa11f0a1fd8878734f76cf,10,2,2,3,Hyacine,Blade,Sunday,Ruan Mei,0,2,0,1
3c5808b9a0fa11f0967e8878734f76cf,12,1,8,3,Fugue,Firefly,Ruan Mei,Lingsha,0,2,0,0
3c5808b9a0fa11f0967e8878734f76cf,12,2,8,3,Ice Trailblazer,Castorice,Hyacine,Robin,4,2,0,0
3c5808b9a0fa11f0967e8878734f76cf,11,1,5,3,Fugue,Firefly,Ruan Mei,Lingsha,0,2,0,0
3c5808b9a0fa11f0967e8878734f76cf,11,2,5,3,Ice Trailblazer,Castorice,Hyacine,Tribbie,4,2,0,0
3c5808b9a0fa11f0967e8878734f76cf,10,1,2,3,The Herta,Herta,Tribbie,Huohuo,0,6,0,0
3c5808b9a0fa11f0967e8878734f76cf,10,2,2,3,Fugue,Firefly,Ruan Mei,Lingsha,0,2,0,0
3c58091fa0fa11f098cd8878734f76cf,12,1,2,3,Acheron,Sparkle,Jiaoqiu,Aventurine,2,2,0,0
3c58091fa0fa11f098cd8878734f76cf,12,2,2,3,Castorice,Evernight,Tribbie,Hyacine,2,0,1,0
3c58091fa0fa11f098cd8878734f76cf,11,1,2,3,Castorice,Evernight,Tribbie,Hyacine,2,0,1,0
3c58091fa0fa11f098cd8878734f76cf,11,2,2,3,Acheron,Sparkle,Jiaoqiu,Aventurine,2,2,0,0
3c58091fa0fa11f098cd8878734f76cf,10,1,0,3,Castorice,Evernight,Tribbie,Hyacine,2,0,1,0
3c58091fa0fa11f098cd8878734f76cf,10,2,0,3,Firefly,Fugue,Imaginary Trailblazer,Ruan Mei,2,0,6,1
