uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4,cons1,cons2,cons3,cons4
a207bf947f4111f0b98d8878734f76cf,12,1,5,3,Anaxa,Ice Trailblazer,Robin,Aventurine,0,6.0,1.0,0.0
a207bf947f4111f0b98d8878734f76cf,12,2,5,3,Phainon,Sunday,Bronya,Tribbie,0,0.0,2.0,0.0
a207bf947f4111f0b98d8878734f76cf,11,1,3,3,Anaxa,Bronya,Robin,Gallagher,0,2.0,1.0,6.0
a207bf947f4111f0b98d8878734f76cf,11,2,3,3,Phainon,Sunday,Ice Trailblazer,Tribbie,0,0.0,6.0,0.0
a207bf947f4111f0b98d8878734f76cf,10,1,1,3,Phainon,Sunday,Ice Trailblazer,Robin,0,0.0,6.0,1.0
a207bf947f4111f0b98d8878734f76cf,10,2,1,3,Mydei,Bronya,Tribbie,Hyacine,0,2.0,0.0,0.0
a1ecd6217f4111f0ad808878734f76cf,12,1,3,3,Hyacine,Ice Trailblazer,Tribbie,Castorice,0,6.0,1.0,0.0
a1ecd6217f4111f0ad808878734f76cf,12,2,3,3,Phainon,Sunday,Robin,Bronya,0,1.0,1.0,3.0
a1ecd6217f4111f0ad808878734f76cf,11,1,1,3,Phainon,Sunday,Robin,Bronya,0,1.0,1.0,3.0
a1ecd6217f4111f0ad808878734f76cf,11,2,1,3,Hyacine,Ice Trailblazer,Tribbie,Castorice,0,6.0,1.0,0.0
a1ecd6217f4111f0ad808878734f76cf,10,1,0,3,Phainon,Sunday,Robin,Bronya,0,1.0,1.0,3.0
a1ecd6217f4111f0ad808878734f76cf,10,2,0,3,Hyacine,Ice Trailblazer,Tribbie,Castorice,0,6.0,1.0,0.0
a1ecf83d7f4111f0ae908878734f76cf,12,1,8,3,Black Swan,Kafka,Gallagher,Robin,1,0.0,4.0,0.0
a1ecf83d7f4111f0ae908878734f76cf,12,2,8,3,Hyacine,Blade,Ruan Mei,Sunday,0,2.0,1.0,0.0
a1ecf83d7f4111f0ae908878734f76cf,11,1,3,3,Kafka,Black Swan,Gallagher,Ruan Mei,0,1.0,4.0,1.0
a1ecf83d7f4111f0ae908878734f76cf,11,2,3,3,Hyacine,Blade,Sunday,Tribbie,0,2.0,0.0,0.0
a1ecf83d7f4111f0ae908878734f76cf,10,1,1,3,Kafka,Black Swan,Ruan Mei,Gallagher,0,1.0,1.0,4.0
a1ecf83d7f4111f0ae908878734f76cf,10,2,1,3,Hyacine,Blade,Sunday,Tribbie,0,2.0,0.0,0.0
