uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4,cons1,cons2,cons3,cons4
c152fc438bb411f0b1a48878734f76cf,12,1,5,3,Anaxa,Ice Trailblazer,Robin,Aventurine,0,6.0,1.0,0.0
c152fc438bb411f0b1a48878734f76cf,12,2,5,3,Phainon,Sunday,Bronya,Tribbie,0,0.0,2.0,0.0
c152fc438bb411f0b1a48878734f76cf,11,1,3,3,Anaxa,Bronya,Robin,Gallagher,0,2.0,1.0,6.0
c152fc438bb411f0b1a48878734f76cf,11,2,3,3,Phainon,Sunday,Ice Trailblazer,Tribbie,0,0.0,6.0,0.0
c152fc438bb411f0b1a48878734f76cf,10,1,1,3,Phainon,Sunday,Ice Trailblazer,Robin,0,0.0,6.0,1.0
c152fc438bb411f0b1a48878734f76cf,10,2,1,3,Mydei,Bronya,Tribbie,Hyacine,0,2.0,0.0,0.0
c136a8538bb411f0b6d58878734f76cf,12,1,3,3,Hyacine,Ice Trailblazer,Tribbie,Castorice,0,6.0,1.0,0.0
c136a8538bb411f0b6d58878734f76cf,12,2,3,3,Phainon,Sunday,Robin,Cerydra,0,1.0,1.0,0.0
c136a8538bb411f0b6d58878734f76cf,11,1,1,3,Phainon,Sunday,Robin,Bronya,0,1.0,1.0,3.0
c136a8538bb411f0b6d58878734f76cf,11,2,1,3,Hyacine,Ice Trailblazer,Tribbie,Castorice,0,6.0,1.0,0.0
c136a8538bb411f0b6d58878734f76cf,10,1,0,3,Phainon,Sunday,Robin,Bronya,0,1.0,1.0,3.0
c136a8538bb411f0b6d58878734f76cf,10,2,0,3,Hyacine,Ice Trailblazer,Tribbie,Castorice,0,6.0,1.0,0.0
c136c9d28bb411f09ff78878734f76cf,12,1,3,3,Hyacine,Blade,Sunday,Ruan Mei,0,2.0,0.0,1.0
c136c9d28bb411f09ff78878734f76cf,12,2,3,3,Kafka,Black Swan,Hysilens,Gallagher,0,1.0,0.0,4.0
c136c9d28bb411f09ff78878734f76cf,11,1,2,3,Hyacine,Blade,Sunday,Ruan Mei,0,2.0,0.0,1.0
c136c9d28bb411f09ff78878734f76cf,11,2,2,3,Kafka,Black Swan,Gallagher,Hysilens,0,1.0,4.0,0.0
c136c9d28bb411f09ff78878734f76cf,10,1,0,3,Kafka,Black Swan,Hysilens,Gallagher,0,1.0,0.0,4.0
c136c9d28bb411f09ff78878734f76cf,10,2,0,3,Hyacine,Blade,Sunday,Ruan Mei,0,2.0,0.0,1.0
c136cad68bb411f0aaac8878734f76cf,12,1,6,3,Saber,Sunday,Robin,Huohuo,0,0.0,0.0,0.0
c136cad68bb411f0aaac8878734f76cf,12,2,6,3,Ice Trailblazer,Castorice,Hyacine,Tribbie,4,2.0,0.0,0.0
c136cad68bb411f0aaac8878734f76cf,11,1,2,3,Saber,Sunday,Robin,Huohuo,0,0.0,0.0,0.0
c136cad68bb411f0aaac8878734f76cf,11,2,2,3,The Herta,Herta,Tribbie,Lingsha,0,6.0,0.0,0.0
c136cad68bb411f0aaac8878734f76cf,10,1,3,3,Acheron,Pela,Fu Xuan,Sparkle,2,6.0,1.0,0.0
c136cad68bb411f0aaac8878734f76cf,10,2,3,3,The Herta,Herta,Tribbie,Huohuo,0,6.0,0.0,0.0
c136cbcd8bb411f0be5c8878734f76cf,12,1,6,3,Firefly,Fugue,Ruan Mei,Gallagher,2,0.0,1.0,6.0
c136cbcd8bb411f0be5c8878734f76cf,12,2,6,3,Castorice,Ice Trailblazer,Tribbie,Hyacine,2,6.0,1.0,0.0
c136cbcd8bb411f0be5c8878734f76cf,11,1,2,3,Firefly,Fugue,Ruan Mei,Gallagher,2,0.0,1.0,6.0
c136cbcd8bb411f0be5c8878734f76cf,11,2,2,3,Castorice,Ice Trailblazer,Tribbie,Hyacine,2,6.0,1.0,0.0
c136cbcd8bb411f0be5c8878734f76cf,10,1,0,3,Firefly,Fugue,Ruan Mei,Gallagher,2,0.0,1.0,6.0
c136cbcd8bb411f0be5c8878734f76cf,10,2,0,3,Castorice,Ice Trailblazer,Tribbie,Hyacine,2,6.0,1.0,0.0
c152fc9f8bb411f093b18878734f76cf,12,1,13,2,Castorice,Ruan Mei,Tribbie,Hyacine,0,1.0,0.0,0.0
c152fc9f8bb411f093b18878734f76cf,12,2,13,2,The Herta,Ice Trailblazer,Herta,Lingsha,0,6.0,6.0,0.0
