uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4,cons1,cons2,cons3,cons4,buff
1000000,4,1,3733,3,Phainon,Sunday,Cerydra,Ruan Mei,0,1,0,0,Armed Up
1000000,4,2,3699,3,Castorice,Ice Trailblazer,Tribbie,Hyacine,0,6,1,0,Unstoppable Force
1000001,4,1,3530,3,Hysilens,Kafka,Black Swan,Gallagher,0,0,1,4,Obstinate Weed
1000001,4,2,3344,3,Hyacine,Blade,Ruan Mei,Sunday,0,2,1,0,Unstoppable Momentum
1000002,4,1,3099,3,Fugue,Firefly,Ruan Mei,Lingsha,0,2,0,0,Rime Piercer
1000002,4,2,3804,3,Ice Trailblazer,Castorice,Hyacine,Evernight,4,2,0,0,Unstoppable Force
1000003,4,1,3243,3,Firefly,Fugue,Ruan Mei,Gallagher,2,0,1,6,Rime Piercer
1000003,4,2,3894,3,Castorice,Evernight,Tribbie,Hyacine,2,0,1,0,Unstoppable Force
1000004,4,1,3074,3,Firefly,Imaginary Trailblazer,Ruan Mei,Lingsha,0,6,1,0,Rime Piercer
1000004,4,2,3730,3,Castorice,Hyacine,Tribbie,Evernight,0,0,0,0,Unstoppable Force
1000005,4,1,3392,3,Saber,Robin,Ruan Mei,Aventurine,0,1,1,0,Rime Piercer
1000005,4,2,3905,3,Castorice,Evernight,Tribbie,Hyacine,2,0,1,0,Unstoppable Force
1000006,4,1,3705,3,Firefly,Fugue,Ruan Mei,Imaginary Trailblazer,2,1,1,6,Rime Piercer
1000006,4,2,3528,3,Castorice,Blade,Cipher,Hyacine,0,6,0,0,Unstoppable Force
1015335,4,1,3150,2,Castorice,Tribbie,Ice Trailblazer,Gallagher,0,0,6,6,Obstinate Weed
1015335,4,2,2787,2,The Herta,Anaxa,Robin,Huohuo,0,0,0,0,Innervation
1015336,4,1,69,0,Kafka,Black Swan,Cerydra,Gallagher,0,0,0,6,Obstinate Weed
1015336,4,2,0,0,,,,,,,,,
1000007,4,1,3156,2,Fu Xuan,Hysilens,Kafka,Black Swan,1,0,1,0,Obstinate Weed
1000007,4,2,2862,2,Luocha,The Herta,Evernight,Jade,0,0,0,0,Unstoppable Momentum
1000008,4,1,3796,3,Firefly,Lingsha,Fugue,Ruan Mei,6,0,0,1,Rime Piercer
1000008,4,2,3573,3,Saber,Ice Trailblazer,Sparkle,Huohuo,6,6,3,0,Innervation
1000009,4,1,3819,3,Firefly,Fugue,Ruan Mei,Lingsha,6,1,1,1,Rime Piercer
1000009,4,2,3690,3,Castorice,Hyacine,Tribbie,Cipher,0,0,1,0,Unstoppable Force
1015337,4,1,3545,3,Anaxa,Ice Trailblazer,Fu Xuan,Ruan Mei,0,6,1,1,Rime Piercer
1015337,4,2,3418,3,The Herta,Tribbie,Luocha,Jade,2,1,0,1,Unstoppable Momentum
1015338,4,1,3366,3,Kafka,Black Swan,Cipher,Bailu,6,0,0,3,Obstinate Weed
1015338,4,2,3284,3,Castorice,Ice Trailblazer,Ruan Mei,Lynx,0,6,1,6,Innervation
1015339,4,1,3616,3,Phainon,Sunday,Bronya,Ruan Mei,0,0,2,0,Armed Up
1015339,4,2,3017,3,The Herta,Anaxa,Tribbie,Gallagher,0,0,0,6,Unstoppable Momentum
1000010,4,1,3805,3,Phainon,Sunday,Cerydra,Robin,2,0,0,0,Armed Up
1000010,4,2,3288,3,Castorice,Evernight,Tribbie,Lingsha,0,0,0,0,Unstoppable Force
1000011,4,1,3551,3,Feixiao,Cipher,Tribbie,Hyacine,0,0,0,0,Rime Piercer
1000011,4,2,3259,3,Castorice,Ice Trailblazer,Ruan Mei,Luocha,0,6,1,1,Unstoppable Momentum
1000012,4,1,3832,3,Feixiao,Robin,Lingsha,Topaz & Numby,2,2,1,0,Rime Piercer
1000012,4,2,3910,3,Castorice,Tribbie,Hyacine,Evernight,2,1,0,1,Unstoppable Momentum
1000013,4,1,3803,3,Anaxa,Sunday,Ruan Mei,Robin,0,0,1,0,Rime Piercer
1000013,4,2,3875,3,Castorice,Tribbie,Evernight,Hyacine,1,0,0,0,Unstoppable Force
1000014,4,1,3238,3,Saber,Bronya,Robin,Gallagher,0,2,1,6,Rime Piercer
1000014,4,2,3721,3,Castorice,Evernight,Ice Trailblazer,Hyacine,0,0,6,0,Unstoppable Force
1015340,4,1,3417,3,Lingsha,Firefly,Fugue,Ruan Mei,1,0,1,0,Rime Piercer
1015340,4,2,3530,3,Tribbie,Castorice,Hyacine,Ice Trailblazer,0,0,1,6,Unstoppable Force
1015341,4,1,2936,3,Firefly,Ruan Mei,Imaginary Trailblazer,Lingsha,0,0,6,0,Rime Piercer
1015341,4,2,3726,3,Hyacine,Tribbie,Evernight,Castorice,0,1,0,0,Innervation
1000015,4,1,3348,3,Fugue,Firefly,Lingsha,Ruan Mei,0,2,0,1,Rime Piercer
1000015,4,2,3901,3,Castorice,Evernight,Hyacine,Tribbie,2,1,1,1,Unstoppable Force
1015342,4,1,3451,3,Firefly,Imaginary Trailblazer,Fugue,Gallagher,1,6,0,6,Rime Piercer
1015342,4,2,3448,3,Castorice,Tribbie,Sunday,Hyacine,0,0,1,0,Unstoppable Force
1015343,4,1,3038,0,Firefly,Fugue,Lingsha,Ruan Mei,0,0,0,0,Rime Piercer
1015343,4,2,126,0,Archer,Sparkle,Tribbie,Cipher,0,0,0,0,Innervation
1000016,4,1,3320,3,Archer,Sparkle,Silver Wolf,Gallagher,0,0,0,6,Rime Piercer
