uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4,cons1,cons2,cons3,cons4,buff
3c57f1a9a0fa11f087848878734f76cf,4,1,3733,3,Phainon,Sunday,Cerydra,Ruan Mei,0,1,0,0,Armed Up
3c57f1a9a0fa11f087848878734f76cf,4,2,3699,3,Castorice,Ice Trailblazer,Tribbie,Hyacine,0,6,1,0,Unstoppable Force
3c5808b9a0fa11f0967e8878734f76cf,4,1,3099,3,Fugue,Firefly,Ruan Mei,Lingsha,0,2,0,0,Rime Piercer
3c5808b9a0fa11f0967e8878734f76cf,4,2,3804,3,Ice Trailblazer,Castorice,Hyacine,Evernight,4,2,0,0,Unstoppable Force
3c58091fa0fa11f098cd8878734f76cf,4,1,3243,3,Firefly,Fugue,Ruan Mei,Gallagher,2,0,1,6,Rime Piercer
3c58091fa0fa11f098cd8878734f76cf,4,2,3894,3,Castorice,Evernight,Tribbie,Hyacine,2,0,1,0,Unstoppable Force
3c580968a0fa11f0b84e8878734f76cf,4,1,3074,3,Firefly,Imaginary Trailblazer,Ruan Mei,Lingsha,0,6,1,0,Rime Piercer
3c580968a0fa11f0b84e8878734f76cf,4,2,3730,3,Castorice,Hyacine,Tribbie,Evernight,0,0,0,0,Unstoppable Force
3c5809aba0fa11f0aef48878734f76cf,4,1,3392,3,Saber,Robin,Ruan Mei,Aventurine,0,1,1,0,Rime Piercer
3c5809aba0fa11f0aef48878734f76cf,4,2,3905,3,Castorice,Evernight,Tribbie,Hyacine,2,0,1,0,Unstoppable Force
3c5809efa0fa11f0af938878734f76cf,4,1,3705,3,Firefly,Fugue,Ruan Mei,Imaginary Trailblazer,2,1,1,6,Rime Piercer
3c5809efa0fa11f0af938878734f76cf,4,2,3528,3,Castorice,Blade,Cipher,Hyacine,0,6,0,0,Unstoppable Force
3c6cbd5aa0fa11f08d788878734f76cf,4,1,3150,2,Castorice,Tribbie,Ice Trailblazer,Gallagher,0,0,6,6,Obstinate Weed
3c6cbd5aa0fa11f08d788878734f76cf,4,2,2787,2,The Herta,Anaxa,Robin,Huohuo,0,0,0,0,Innervation
3c580a2ba0fa11f090598878734f76cf,4,1,69,0,Kafka,Black Swan,Cerydra,Gallagher,0,0,0,6,Obstinate Weed
3c580a2ba0fa11f090598878734f76cf,4,2,0,0,,,,,,,,,
3c6cbd92a0fa11f0ad408878734f76cf,4,1,3156,2,Fu Xuan,Hysilens,Kafka,Black Swan,1,0,1,0,Obstinate Weed
3c6cbd92a0fa11f0ad408878734f76cf,4,2,2758,2,Luocha,The Herta,Evernight,Jade,0,0,0,0,Unstoppable Momentum
3c580a67a0fa11f0adbb8878734f76cf,4,1,3796,3,Firefly,Lingsha,Fugue,Ruan Mei,6,0,0,1,Rime Piercer
3c580a67a0fa11f0adbb8878734f76cf,4,2,3573,3,Saber,Ice Trailblazer,Sparkle,Huohuo,6,6,3,0,Innervation
3c580a9da0fa11f0b9708878734f76cf,4,1,3819,3,Firefly,Fugue,Ruan Mei,Lingsha,6,1,1,1,Rime Piercer
3c580a9da0fa11f0b9708878734f76cf,4,2,3690,3,Castorice,Hyacine,Tribbie,Cipher,0,0,1,0,Unstoppable Force
