uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4,cons1,cons2,cons3,cons4
20dfca5b744211f0a1a08878734f76cf,12,1,3,3,Hyacine,Ice Trailblazer,Tribbie,Castorice,0,6.0,1.0,0.0
20dfca5b744211f0a1a08878734f76cf,12,2,3,3,Phainon,Sunday,Robin,Bronya,0,1.0,1.0,3.0
20dfca5b744211f0a1a08878734f76cf,11,1,1,3,Phainon,Sunday,Robin,Bronya,0,1.0,1.0,3.0
20dfca5b744211f0a1a08878734f76cf,11,2,1,3,Hyacine,Ice Trailblazer,Tribbie,Castorice,0,6.0,1.0,0.0
20dfca5b744211f0a1a08878734f76cf,10,1,0,3,Phainon,Sunday,Robin,Bronya,0,1.0,1.0,3.0
20dfca5b744211f0a1a08878734f76cf,10,2,0,3,Hyacine,Ice Trailblazer,Tribbie,Castorice,0,6.0,1.0,0.0
20e0f322744211f08ecb8878734f76cf,12,1,8,3,Black Swan,Kafka,Gallagher,Robin,1,0.0,4.0,0.0
20e0f322744211f08ecb8878734f76cf,12,2,8,3,Hyacine,Blade,Ruan Mei,Sunday,0,2.0,1.0,0.0
20e0f322744211f08ecb8878734f76cf,11,1,5,3,Hyacine,Blade,Tribbie,Sunday,0,2.0,0.0,0.0
20e0f322744211f08ecb8878734f76cf,11,2,5,3,Black Swan,Kafka,Ruan Mei,Gallagher,1,0.0,1.0,4.0
20e0f322744211f08ecb8878734f76cf,10,1,1,3,Kafka,Black Swan,Ruan Mei,Gallagher,0,1.0,1.0,4.0
20e0f322744211f08ecb8878734f76cf,10,2,1,3,Hyacine,Blade,Sunday,Tribbie,0,2.0,0.0,0.0
20e0f4fd744211f0bb398878734f76cf,12,1,6,3,Saber,Sunday,Robin,Huohuo,0,0.0,0.0,0.0
20e0f4fd744211f0bb398878734f76cf,12,2,6,3,Ice Trailblazer,Castorice,Hyacine,Tribbie,4,2.0,0.0,0.0
20e0f4fd744211f0bb398878734f76cf,11,1,2,3,Saber,Sunday,Robin,Huohuo,0,0.0,0.0,0.0
20e0f4fd744211f0bb398878734f76cf,11,2,2,3,The Herta,Herta,Tribbie,Lingsha,0,6.0,0.0,0.0
20e0f4fd744211f0bb398878734f76cf,10,1,3,3,Acheron,Pela,Fu Xuan,Sparkle,2,6.0,1.0,0.0
20e0f4fd744211f0bb398878734f76cf,10,2,3,3,The Herta,Herta,Tribbie,Huohuo,0,6.0,0.0,0.0
20e0f641744211f088908878734f76cf,12,1,6,3,Firefly,Fugue,Ruan Mei,Gallagher,2,0.0,1.0,6.0
20e0f641744211f088908878734f76cf,12,2,6,3,Castorice,Ice Trailblazer,Tribbie,Hyacine,2,6.0,1.0,0.0
20e0f641744211f088908878734f76cf,11,1,2,3,Firefly,Fugue,Ruan Mei,Gallagher,2,0.0,1.0,6.0
20e0f641744211f088908878734f76cf,11,2,2,3,Castorice,Ice Trailblazer,Tribbie,Hyacine,2,6.0,1.0,0.0
20e0f641744211f088908878734f76cf,10,1,0,3,Firefly,Fugue,Ruan Mei,Gallagher,2,0.0,1.0,6.0
20e0f641744211f088908878734f76cf,10,2,0,3,Castorice,Ice Trailblazer,Tribbie,Hyacine,2,6.0,1.0,0.0
20e0f76b744211f090438878734f76cf,12,1,6,3,Saber,Bronya,Robin,Luocha,0,2.0,1.0,0.0
20e0f76b744211f090438878734f76cf,12,2,6,3,Castorice,Ice Trailblazer,Tribbie,Hyacine,2,6.0,1.0,0.0
20e0f76b744211f090438878734f76cf,11,1,2,3,Yunli,Tingyun,Robin,Luocha,0,6.0,1.0,0.0
20e0f76b744211f090438878734f76cf,11,2,2,3,Castorice,Ice Trailblazer,Tribbie,Hyacine,2,6.0,1.0,0.0
20e0f76b744211f090438878734f76cf,10,1,2,3,Yunli,Tingyun,Robin,Luocha,0,6.0,1.0,0.0
20e0f76b744211f090438878734f76cf,10,2,2,3,Castorice,Ice Trailblazer,Tribbie,Hyacine,2,6.0,1.0,0.0
20e0f88b744211f08bad8878734f76cf,12,1,6,3,Black Swan,Kafka,Aventurine,Anaxa,0,2.0,2.0,0.0
20e0f88b744211f08bad8878734f76cf,12,2,6,3,Phainon,Sunday,Hyacine,Bronya,2,1.0,0.0,6.0
20e0f88b744211f08bad8878734f76cf,11,1,0,3,Phainon,Sunday,Hyacine,Bronya,2,1.0,0.0,6.0
20e0f88b744211f08bad8878734f76cf,11,2,0,3,Archer,Sparkle,Fu Xuan,Cipher,1,0.0,2.0,0.0
20e0f88b744211f08bad8878734f76cf,10,1,0,3,Aglaea,Robin,Fu Xuan,Sunday,1,0.0,2.0,1.0
20e0f88b744211f08bad8878734f76cf,10,2,0,3,Rappa,Silver Wolf,Fugue,Ruan Mei,2,0.0,1.0,1.0
20e0f976744211f0b8928878734f76cf,12,1,8,3,Kafka,Black Swan,Ruan Mei,Luocha,0,0.0,1.0,0.0
20e0f976744211f0b8928878734f76cf,12,2,8,3,Phainon,Bronya,Ice Trailblazer,Gallagher,0,3.0,6.0,6.0
20e0f976744211f0b8928878734f76cf,11,1,4,3,Phainon,Bronya,Robin,Tingyun,0,3.0,0.0,6.0
20e0f976744211f0b8928878734f76cf,11,2,4,3,Castorice,Ice Trailblazer,Ruan Mei,Luocha,0,6.0,1.0,0.0
20e0f976744211f0b8928878734f76cf,10,1,3,3,Kafka,Black Swan,Ruan Mei,Luocha,0,0.0,1.0,0.0
20e0f976744211f0b8928878734f76cf,10,2,3,3,The Herta,Ice Trailblazer,Herta,Fu Xuan,0,6.0,6.0,0.0
20e0fa21744211f0960c8878734f76cf,12,1,3,3,Saber,Sparkle,Ice Trailblazer,Silver Wolf,4,3.0,6.0,6.0
20e0fa21744211f0960c8878734f76cf,12,2,3,3,Firefly,Lingsha,Fugue,Ruan Mei,6,0.0,0.0,1.0
20e0fa21744211f0960c8878734f76cf,11,1,0,3,Firefly,Lingsha,Fugue,Ruan Mei,6,0.0,0.0,1.0
20e0fa21744211f0960c8878734f76cf,11,2,0,3,Saber,Sparkle,Ice Trailblazer,Silver Wolf,4,3.0,6.0,6.0
20e0fa21744211f0960c8878734f76cf,10,1,0,3,Saber,Sparkle,Ice Trailblazer,Silver Wolf,4,3.0,6.0,6.0
20e0fa21744211f0960c8878734f76cf,10,2,0,3,Firefly,Lingsha,Fugue,Ruan Mei,6,0.0,0.0,1.0
20e0fabd744211f080828878734f76cf,12,1,0,3,Black Swan,Kafka,Tribbie,Cipher,1,2.0,1.0,0.0
20e0fabd744211f080828878734f76cf,12,2,0,3,Firefly,Fugue,Ruan Mei,Imaginary Trailblazer,6,1.0,1.0,6.0
20e0fabd744211f080828878734f76cf,11,1,1,3,Firefly,Fugue,Ruan Mei,Lingsha,6,1.0,1.0,1.0
20e0fabd744211f080828878734f76cf,11,2,1,3,Black Swan,Kafka,Hyacine,Cipher,1,2.0,0.0,0.0
20e0fabd744211f080828878734f76cf,10,1,0,3,Black Swan,Kafka,Hyacine,Cipher,1,2.0,0.0,0.0
20e0fabd744211f080828878734f76cf,10,2,0,3,Firefly,Fugue,Ruan Mei,Lingsha,6,1.0,1.0,1.0
2122adeb744211f0b0288878734f76cf,12,1,16,2,Rappa,Fugue,Ruan Mei,Gallagher,0,1.0,1.0,6.0
2122adeb744211f0b0288878734f76cf,12,2,16,2,Acheron,Kafka,Black Swan,Bailu,2,4.0,0.0,3.0
2122adeb744211f0b0288878734f76cf,11,1,7,3,Feixiao,Imaginary March 7th,Robin,Gallagher,0,6.0,0.0,6.0
2122adeb744211f0b0288878734f76cf,11,2,7,3,Acheron,Kafka,Cipher,Bailu,2,4.0,0.0,3.0
2122adeb744211f0b0288878734f76cf,10,1,2,3,Acheron,Kafka,Black Swan,Bailu,2,4.0,0.0,3.0
2122adeb744211f0b0288878734f76cf,10,2,2,3,Rappa,Fugue,Ruan Mei,Gallagher,0,1.0,1.0,6.0
20e0fb85744211f088a38878734f76cf,12,1,7,3,The Herta,Anaxa,Tribbie,Fu Xuan,0,0.0,0.0,1.0
20e0fb85744211f088a38878734f76cf,12,2,7,3,Phainon,Sunday,Bronya,Ruan Mei,0,0.0,2.0,0.0
20e0fb85744211f088a38878734f76cf,11,1,3,3,Phainon,Sunday,Bronya,Ruan Mei,0,0.0,2.0,0.0
20e0fb85744211f088a38878734f76cf,11,2,3,3,The Herta,Anaxa,Tribbie,Fu Xuan,0,0.0,0.0,1.0
20e0fb85744211f088a38878734f76cf,10,1,1,3,Phainon,Sunday,Bronya,Ruan Mei,0,0.0,2.0,0.0
20e0fb85744211f088a38878734f76cf,10,2,1,3,The Herta,Anaxa,Tribbie,Fu Xuan,0,0.0,0.0,1.0
20e0fc1e744211f087058878734f76cf,12,1,7,3,Feixiao,Cipher,Aventurine,Robin,0,0.0,1.0,0.0
20e0fc1e744211f087058878734f76cf,12,2,7,3,Phainon,Sunday,Bronya,Tribbie,2,0.0,3.0,0.0
20e0fc1e744211f087058878734f76cf,11,1,4,3,Phainon,Sunday,Bronya,Robin,2,0.0,3.0,0.0
20e0fc1e744211f087058878734f76cf,11,2,4,3,Castorice,Cipher,Tribbie,Lingsha,0,0.0,0.0,0.0
20e0fc1e744211f087058878734f76cf,10,1,1,3,Phainon,Sunday,Bronya,Robin,2,0.0,3.0,0.0
20e0fc1e744211f087058878734f76cf,10,2,1,3,Castorice,Cipher,Tribbie,Lingsha,0,0.0,0.0,0.0
20e0fccc744211f096be8878734f76cf,12,1,8,3,Feixiao,Cipher,Tribbie,Hyacine,0,0.0,0.0,0.0
20e0fccc744211f096be8878734f76cf,12,2,8,3,Phainon,Sunday,Bronya,Huohuo,0,0.0,2.0,0.0
20e0fccc744211f096be8878734f76cf,11,1,4,3,Phainon,Sunday,Bronya,Huohuo,0,0.0,2.0,0.0
20e0fccc744211f096be8878734f76cf,11,2,4,3,Castorice,Ice Trailblazer,Tribbie,Hyacine,0,6.0,0.0,0.0
20e0fccc744211f096be8878734f76cf,10,1,1,3,Huohuo,Robin,Sunday,Aglaea,0,0.0,0.0,0.0
20e0fccc744211f096be8878734f76cf,10,2,1,3,Gallagher,Imaginary Trailblazer,Fugue,Rappa,6,6.0,1.0,0.0
20e0fd70744211f09de48878734f76cf,12,1,0,3,Feixiao,Robin,Aventurine,Cipher,2,2.0,2.0,0.0
20e0fd70744211f09de48878734f76cf,12,2,0,3,Castorice,Tribbie,Hyacine,Ice Trailblazer,2,1.0,0.0,6.0
20e0fd70744211f09de48878734f76cf,11,1,0,3,Feixiao,Robin,Aventurine,Cipher,2,2.0,2.0,0.0
20e0fd70744211f09de48878734f76cf,11,2,0,3,Castorice,Tribbie,Hyacine,Ice Trailblazer,2,1.0,0.0,6.0
20e0fd70744211f09de48878734f76cf,10,1,0,3,Acheron,Sparkle,Aventurine,Silver Wolf,2,2.0,2.0,2.0
20e0fd70744211f09de48878734f76cf,10,2,0,3,The Herta,Tribbie,Hyacine,Jade,2,1.0,0.0,0.0
20e0fe05744211f08b728878734f76cf,12,1,2,3,Castorice,Tribbie,Ruan Mei,Hyacine,1,0.0,1.0,0.0
20e0fe05744211f08b728878734f76cf,12,2,2,3,Phainon,Sunday,Bronya,Ice Trailblazer,0,0.0,0.0,6.0
20e0fe05744211f08b728878734f76cf,11,1,1,3,Anaxa,Sunday,Robin,Huohuo,0,0.0,0.0,0.0
20e0fe05744211f08b728878734f76cf,11,2,1,3,Castorice,Tribbie,Ice Trailblazer,Hyacine,1,0.0,6.0,0.0
20e0fe05744211f08b728878734f76cf,10,1,0,3,Phainon,Sunday,Bronya,Ruan Mei,0,0.0,0.0,1.0
20e0fe05744211f08b728878734f76cf,10,2,0,3,The Herta,Huohuo,Tribbie,Anaxa,0,0.0,0.0,0.0
2122b1fc744211f09d198878734f76cf,12,1,24,1,Acheron,Feixiao,Aventurine,Cipher,2,3.0,0.0,1.0
