uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4,cons1,cons2,cons3,cons4,buff
1000000,4,1,40000,3,Castorice,Cyrene,Hyacine,Tribbie,0,0,0,1,Cinnabar Inscription
1000000,4,2,26360,3,Phainon,Sunday,Cerydra,Ice Trailblazer,0,1,0,6,Torn Fabric
1000001,4,1,40000,3,Black Swan,Kafka,Dan Heng • Permansor Terrae,Hysilens,1,0,0,0,Exposition
1000001,4,2,29080,3,Hyacine,Blade,Tribbie,Jade,0,2,0,1,Cinnabar Inscription
1000002,4,1,40000,3,Cyrene,Castorice,Hyacine,Evernight,0,2,0,0,Cinnabar Inscription
1000002,4,2,26040,3,The Herta,Herta,Tribbie,Dan Heng • Permansor Terrae,0,6,0,0,Cinnabar Inscription
1000003,4,1,40000,3,Castorice,Evernight,Cyrene,Hyacine,0,0,0,0,Cinnabar Inscription
1000003,4,2,26360,3,The Herta,Herta,Tribbie,Dan Heng • Permansor Terrae,0,6,0,0,Torn Fabric
1000004,4,1,40000,3,Castorice,Evernight,Cyrene,Hyacine,2,1,0,0,Cinnabar Inscription
1000004,4,2,28560,3,The Herta,Tribbie,Herta,Aventurine,0,1,6,0,Cinnabar Inscription
1000005,4,1,40000,3,Kafka,Hysilens,Black Swan,Aventurine,2,0,0,2,Exposition
1000005,4,2,29680,3,The Herta,Anaxa,Tribbie,Hyacine,2,0,0,0,Torn Fabric
1000006,4,1,39160,3,Kafka,Hysilens,Black Swan,Dan Heng • Permansor Terrae,1,0,0,0,Exposition
1000006,4,2,40000,3,Evernight,Ice Trailblazer,Cyrene,Hyacine,0,6,0,1,Cinnabar Inscription
1000007,4,1,40000,3,Kafka,Black Swan,Robin,Lingsha,6,0,0,0,Exposition
1000007,4,2,40000,3,Saber,Sparkle,Silver Wolf,Huohuo,6,3,6,0,Torn Fabric
1000008,4,1,40000,3,Hysilens,Kafka,Dan Heng • Permansor Terrae,Black Swan,1,2,0,1,Exposition
1000008,4,2,40000,3,Castorice,Hyacine,Evernight,Cyrene,0,0,0,0,Cinnabar Inscription
1000009,4,1,24280,3,Topaz & Numby,Yunli,Aventurine,Robin,3,1,1,0,Torn Fabric
1000009,4,2,40000,3,Jade,Tribbie,The Herta,Fu Xuan,1,1,2,1,Cinnabar Inscription
1000010,4,1,33320,3,Acheron,Kafka,Fugue,Gallagher,2,6,1,6,Exposition
1000010,4,2,26920,3,Hysilens,Black Swan,Cyrene,Dan Heng • Permansor Terrae,0,0,0,0,Exposition
1000011,4,1,40000,3,Phainon,Sunday,Cerydra,Robin,2,0,0,0,Torn Fabric
1000011,4,2,40000,3,Castorice,Evernight,Tribbie,Hyacine,0,0,0,0,Cinnabar Inscription
1000012,4,1,27120,3,Aglaea,Sunday,Robin,Huohuo,0,0,0,0,Cinnabar Inscription
1000012,4,2,40000,3,Castorice,Cyrene,Evernight,Hyacine,0,0,0,0,Cinnabar Inscription
1000013,4,1,40000,3,Castorice,Cyrene,Hyacine,Evernight,2,0,1,1,Cinnabar Inscription
1000013,4,2,40000,3,The Herta,Tribbie,Aventurine,Herta,2,1,2,6,Torn Fabric
1000014,4,1,31400,3,The Herta,Huohuo,Tribbie,Anaxa,0,0,0,0,Torn Fabric
