uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4,cons1,cons2,cons3,cons4,buff
1010713,4,1,3665,3,Phainon,Sunday,Robin,Ice Trailblazer,2,0,1,6,Heroic Vanguard
1010713,4,2,3604,3,Anaxa,Cerydra,Cyrene,Dan Heng • Permansor Terrae,0,0,0,0,Sweeping Force
1000000,4,1,3485,3,Castorice,Cyrene,Ice Trailblazer,Hyacine,0,0,6,0,Brand of Anamnesis
1000000,4,2,3538,3,Phainon,Sunday,Cerydra,Ruan Mei,0,1,0,0,Sweeping Force
1000001,4,1,702,0,Dan Heng • Permansor Terrae,Jade,Tribbie,Ruan Mei,0,1,0,1,Heroic Vanguard
1000001,4,2,0,0,,,,,,,,,
1000002,4,1,3835,3,Cyrene,Castorice,Hyacine,Evernight,0,2,0,0,Brand of Anamnesis
1000002,4,2,3100,3,Fugue,Firefly,Ruan Mei,Lingsha,0,2,0,0,Stunning Remark
1000003,4,1,3772,3,Castorice,Evernight,Cyrene,Hyacine,0,0,0,0,Brand of Anamnesis
1000003,4,2,2898,3,Blade,Ice Trailblazer,Tribbie,Gallagher,1,6,0,6,Sweeping Force
1000004,4,1,3724,3,Castorice,Ice Trailblazer,Cyrene,Hyacine,2,6,0,0,Brand of Anamnesis
1000004,4,2,3285,3,Saber,Robin,Aventurine,Tribbie,0,1,0,1,Sweeping Force
1000005,4,1,3677,3,Castorice,Evernight,Cyrene,Hyacine,0,0,0,0,Brand of Anamnesis
1000005,4,2,3422,3,Firefly,Fugue,Ruan Mei,Imaginary Trailblazer,2,1,1,6,Sweeping Force
1010715,4,1,0,0,Phainon,Cerydra,Sunday,Dan Heng • Permansor Terrae,0,0,0,0,Heroic Vanguard
1010715,4,2,690,0,Dan Heng • Imbibitor Lunae,Sparkle,Ruan Mei,Huohuo,2,0,0,0,Sweeping Force
1000006,4,1,3068,2,The Herta,Evernight,Jade,Dan Heng • Permansor Terrae,0,0,0,0,Hardened by Frost
1000006,4,2,3250,2,Hysilens,Kafka,Black Swan,Luocha,0,1,0,0,Dire Straits
1000007,4,1,3379,3,Firefly,Lingsha,Fugue,Ruan Mei,6,0,0,2,Heroic Vanguard
1000007,4,2,3816,3,Saber,Sparkle,Ice Trailblazer,Silver Wolf,6,3,6,6,Sweeping Force
1000008,4,1,3767,3,Castorice,Hyacine,Evernight,Cyrene,0,0,0,0,Brand of Anamnesis
1000008,4,2,3824,3,Firefly,Fugue,Ruan Mei,Imaginary Trailblazer,6,1,1,6,Stunning Remark
1000009,4,1,3591,3,The Herta,Tribbie,Fu Xuan,Jade,2,1,1,1,Heroic Vanguard
1000009,4,2,3319,3,Anaxa,Ice Trailblazer,Ruan Mei,Gallagher,0,6,1,4,Sweeping Force
1000010,4,1,3231,3,The Herta,Ice Trailblazer,Cyrene,Dan Heng • Permansor Terrae,0,6,0,0,Hardened by Frost
1000010,4,2,3378,3,Kafka,Black Swan,Hysilens,Bailu,6,0,0,3,Dire Straits
