uid,floor,round_num,star_num,ch1,ch2,ch3,ch4,cons1,cons2,cons3,cons4,buff,hard_mode
1000000,1,1,3,Aglaea,Cyrene,Robin,Hyacine,0,0,1,0,,False
1000000,2,3,2,Phainon,Sunday,Cerydra,Bronya,0,1,0,4,,False
1000000,3,3,2,Castorice,Ice Trailblazer,Tribbie,Luocha,0,6,1,0,,False
1000000,4,4,2,Castorice,Cyrene,Tribbie,Hyacine,0,0,1,0,Sanguine Vitality,False
1000001,1,0,3,Black Swan,Kafka,Hysilens,Dan Heng • Permansor Terrae,1,0,0,0,,False
1000001,2,4,2,Hyacine,Blade,Sunday,Tribbie,0,2,0,0,,False
1010714,1,6,1,Firefly,Fugue,Ruan Mei,Gallagher,2,0,1,6,,False
1010714,2,0,3,Castorice,Evernight,Cyrene,Hyacine,2,0,0,0,,False
1010714,3,2,3,Acheron,Sunday,Jiaoqiu,Dan Heng • Permansor Terrae,2,0,0,0,,False
1010714,4,2,3,Castorice,Evernight,Cyrene,Hyacine,2,0,0,0,Sanguine Vitality,False
1000004,1,2,3,Castorice,Cyrene,Ruan Mei,Luocha,2,0,1,0,,False
1000004,2,2,3,Yunli,Evernight,Robin,Hyacine,0,1,1,0,,False
1000004,3,2,3,The Herta,Tribbie,Herta,Aventurine,0,1,6,0,,False
1000004,4,0,3,Castorice,Evernight,Tribbie,Hyacine,2,1,1,0,Sanguine Vitality,False
1000005,1,0,3,Phainon,Sunday,Bronya,Dan Heng • Permansor Terrae,2,1,6,0,,False
1000005,2,2,3,Castorice,Hyacine,Evernight,Cyrene,0,0,0,0,,False
1000005,3,0,3,Lingsha,Fugue,Ruan Mei,Firefly,0,1,1,2,,False
1000005,4,4,2,Castorice,Evernight,Hyacine,Cyrene,0,0,0,0,Sanguine Vitality,False
1000006,1,0,3,Hysilens,Kafka,Black Swan,Dan Heng • Permansor Terrae,0,1,0,0,,False
1000006,2,6,1,Evernight,Ice Trailblazer,Cyrene,Hyacine,0,6,0,1,,False
1000006,3,5,1,The Herta,Ruan Mei,Jade,Luocha,0,1,0,0,,False
1000007,1,0,3,Kafka,Black Swan,Robin,Huohuo,6,0,0,0,,False
1000007,2,0,3,Saber,Sparkle,Ice Trailblazer,Silver Wolf,6,3,6,6,,False
1000007,3,1,3,Firefly,Lingsha,Fugue,Ruan Mei,6,0,0,2,,False
1000007,4,2,3,Saber,Sparkle,Silver Wolf,Huohuo,6,3,6,0,Power Surge,False
1000008,1,0,3,Hysilens,Kafka,Black Swan,Dan Heng • Permansor Terrae,1,2,1,0,,False
1000008,2,1,3,Castorice,Hyacine,Evernight,Cyrene,0,0,0,0,,False
1000008,3,0,3,Firefly,Fugue,Ruan Mei,Lingsha,6,1,1,1,,False
1000008,4,2,3,Hysilens,Kafka,Hyacine,Cyrene,1,2,0,0,Fluid Dash,False
1000009,1,0,3,The Herta,Tribbie,Fu Xuan,Jade,2,1,1,1,,False
1000011,1,0,3,Phainon,Sunday,Cerydra,Dan Heng • Permansor Terrae,2,0,0,0,,False
1000011,2,4,2,Castorice,Evernight,Tribbie,Hyacine,0,0,0,0,,False
1000011,3,5,1,Firefly,Fugue,Lingsha,Ruan Mei,0,0,0,0,,False
1000011,4,4,2,Phainon,Sunday,Cerydra,Dan Heng • Permansor Terrae,2,0,0,0,Power Surge,False
